Referencia,Data,valor
Azúcar Blanco,01/01/2025,2604112
Azúcar Blanco,01/02/2025,2613677
Azúcar Blanco,01/03/2025,2828341
Azúcar Blanco,01/04/2025,3104660
Azúcar Blanco,01/05/2025,3432472
Azúcar Blanco,01/06/2025,3376101
Azúcar Blanco,01/07/2025,3130441
Azúcar Blanco,01/08/2025,2983383
Azúcar Blanco,01/09/2025,2855361
Azúcar Blanco,01/10/2025,2665739
Azúcar Blanco,01/11/2025,2700740
Azúcar Blanco,01/12/2025,2632492
Maíz Amarillo Nacional,01/01/2025,1400894
Maíz Amarillo Nacional,01/02/2025,1353790
Maíz Amarillo Nacional,01/03/2025,1343083
Maíz Amarillo Nacional,01/04/2025,1315466
Maíz Amarillo Nacional,01/05/2025,1357360
Maíz Amarillo Nacional,01/06/2025,1365954
Maíz Amarillo Nacional,01/07/2025,1173852
Maíz Amarillo Nacional,01/08/2025,1162290
Maíz Amarillo Nacional,01/09/2025,1081466
Maíz Amarillo Nacional,01/10/2025,1296264
Maíz Amarillo Nacional,01/11/2025,1428559
Maíz Amarillo Nacional,01/12/2025,1437179
